### SHEET: Platform_Comparison
Category,Azure Container Linux (ACL),Ubuntu on AKS,Broadcom VKS (PhotonOS),Broadcom VKS (Custom RHEL)
OS Type,Minimal immutable Mariner,Full Ubuntu with AppArmor,PhotonOS minimal,Full RHEL with SELinux
LSM Support,SELinux (limited),AppArmor (full),SELinux only (limited),SELinux (full)
KubeArmor Support,No (no AppArmor/BPF-LSM),Yes (full),No (PhotonOS lacks AppArmor),Yes (SELinux mode)
Tetragon Support,Yes (eBPF),Yes (eBPF),Yes (eBPF),Yes (eBPF)
Seccomp Support,Yes,Yes,Yes,Yes
Kyverno Support,Yes,Yes,Yes,Yes
Syscall Blocking,Seccomp only,Seccomp + AppArmor/KubeArmor,Seccomp only,Seccomp + SELinux
Syscall Categories per Workload,Yes (seccomp),Yes (seccomp + AppArmor/KubeArmor),Yes (seccomp),Yes (seccomp + SELinux)
Process Blocking,Tetragon only,KubeArmor + Tetragon,Tetragon only,KubeArmor (SELinux mode) + Tetragon
File Blocking,No,Yes (AppArmor/KubeArmor),No,Yes (SELinux/KubeArmor)
Network Blocking,No,Yes (KubeArmor LSM),No,Yes (SELinux/KubeArmor)
Capability Blocking,Partial (seccomp),Full (AppArmor/KubeArmor),Partial (seccomp),Full (SELinux)
Context-Aware Policies,No,Yes,No,Partial (SELinux domains)
Behavior Blocking,No,Yes (process/file/net),No,Yes (SELinux policies)
Observability,Tetragon,Tetragon + KubeArmor,Tetragon,Tetragon + KubeArmor
Zero-Trust Runtime Security,Partial,Full,Partial,Full
Cilium Support,Partial (kernel limits),Full,Full,Full
Istio Ambient Support,Not stable,Full,Full (depending on CNI),Full
Complexity,High,Medium,High,High (SELinux tuning)
Attack Surface,Very low,Medium,Low,Medium
Best For,Minimal OS + eBPF,Full runtime security + mesh,VMware-centric infra,RHEL shops needing SELinux enforcement

### SHEET: Workload_Types
Workload Type,Description,Primary Risks,Security Focus
web,Public-facing HTTP services,RCE, token theft,Block shells, tools, token/secret reads
api,Internal/external APIs,Auth bypass, exfiltration,Lock execution to app binary
database,Stateful data stores,Data theft/corruption,Restrict writes to datadir
batch,One-off jobs,Abuse for scanning,Limit network + tools
worker,Async processing,Data leaks,Restrict outbound + secrets
admin,Ops tools,Privilege misuse,Strong restrictions
security,Agents/scanners,Over-permissioned,Restrict FS + network
ml-serving,Model inference,Model theft,Protect model files
ml-training,Training jobs,Data leakage,Restrict storage + outbound

### SHEET: KubeArmor_Policies
Workload Type,KubeArmor Policy Idea
web,"Block shells/tools; block secrets; allow only web binary"
api,"Allow only /app; block /bin and /usr/bin; block token"
database,"Allow only datadir writes; block shells/tools"
batch,"Allow only job binary; block secrets; block outbound"
worker,"Allow only worker binary; block secrets; restrict FS"
admin,"Allow admin tools; audit shells; restrict secrets"
security,"Allow agent only; restrict FS + network"
ml-serving,"Protect model dir; block shells/tools"
ml-training,"Restrict data dirs; block secrets; block outbound"

### SHEET: AppArmor_Patterns
Workload Type,AppArmor Pattern
web,"deny shells/tools; deny secrets; allow web binary"
api,"allow /app; deny /bin and /usr/bin; deny token"
database,"allow datadir; deny writes elsewhere; deny shells"
batch,"allow job binary; deny secrets; deny network tools"
worker,"allow worker binary; deny secrets; restrict FS"
admin,"allow admin tools; audit shells; deny secrets"
security,"allow agent; restrict FS; deny secrets"
ml-serving,"allow model read; deny write; deny shells"
ml-training,"allow data dirs; deny secrets; deny shells"

### SHEET: Tetragon_Rules
Workload Type,Tetragon Detection/Enforcement
web,"Detect shells/tools; detect secret reads; detect outbound"
api,"Detect exec outside /app; detect token reads"
database,"Detect writes outside datadir; detect outbound"
batch,"Detect long-running jobs; detect secret reads"
worker,"Detect non-worker exec; detect outbound"
admin,"Detect shells in non-admin pods; detect sensitive FS access"
security,"Detect agent misuse; detect outbound anomalies"
ml-serving,"Detect model access anomalies; detect outbound"
ml-training,"Detect data access anomalies; detect outbound"
